Year,Fm_Gen_Abund_Ind,Fm_Gen_2_5CI,Fm_Gen_97_5CI,Fm_Spec_Abund_Ind,Fm_Spec_2_5CI,Fm_Spec_97_5CI,Wood_Gen_Abund_Ind,Wood_Gen_2_5CI,Wood_Gen_97_5CI,Wood_Spec_Abund_Ind,Wood_Spec_2_5CI,Wood_Spec_97_5CI,Wet_Abund_Ind,Wet_2_5CI,Wet_97_5CI
1970,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1971,98.9371475,95.41453065,102.9479642,98.5529881,97.34550973,99.85390369,104.2113942,103.1751999,105.4366499,101.472557,100.1767534,102.9377178,100,100,100
1972,98.97389935,91.60649248,107.1018613,97.63006015,95.06997834,100.0433961,108.641835,106.4702422,110.8646516,101.895099,99.54653341,104.5538713,100,100,100
1973,99.99192576,89.8460382,111.8323175,97.45390516,93.5754955,101.1025473,111.6377812,108.4430932,114.7276181,100.8740198,97.46207158,104.538567,100,100,100
1974,101.9784366,89.297327,116.972462,98.51337538,93.87749277,103.5251501,112.6582493,109.231729,116.3686932,99.0501552,95.1253746,103.5178759,100,100,100
1975,104.5922166,91.11522838,121.6576851,100.3138812,94.89229501,106.1207801,111.3787322,107.3897736,115.7888428,97.20805544,92.14551389,103.1262571,100,100,100
1976,106.3045391,92.47432848,124.3771024,101.6164502,95.94904866,107.9683155,107.8874857,104.1557729,113.0399342,95.60038091,89.97988217,102.1750829,102.5802117,100.2121215,105.4117535
1977,106.60416,92.30163933,125.5432824,101.0091689,95.20878846,108.3943941,103.3537237,99.44048545,108.8496591,94.22997158,88.32691458,101.9522903,103.3211404,99.62616424,108.0096891
1978,105.4471151,90.53790808,124.6998049,97.91023794,91.52991366,104.8284293,98.91040974,94.60147174,104.1027288,92.67082583,86.68384548,100.5974239,101.6726191,96.01420774,108.2067294
1979,103.5512275,88.46072311,122.4479619,93.18265796,86.23966315,100.2004779,95.861024,91.9650851,100.5741177,91.73192546,85.54674376,99.04406162,99.86566307,93.13557927,108.4959397
1980,101.8901882,86.17270222,120.8150956,87.54275501,80.5172056,94.58391175,94.83234507,90.50691415,99.78220117,91.85731756,85.517646,100.1179765,99.01719088,91.89113369,108.8420549
1981,100.9113048,85.01741363,121.0028276,80.99136859,74.11972455,88.07457462,94.34323685,89.93327724,99.98398917,92.04648255,85.35692274,101.1025422,98.49023994,90.09134245,109.3180545
1982,100.1628602,84.44665972,120.5728037,74.25480933,67.72710931,81.11389183,93.57689171,89.27457809,98.7666723,91.66235755,84.77213945,101.2929611,97.81337309,89.10596857,108.7237194
1983,99.40528005,83.54684069,121.0262734,68.50090626,62.41135818,74.77820271,93.47255902,88.82841854,98.83740891,90.72131441,83.77363633,99.61019588,97.68158835,87.79087459,108.6235675
1984,98.5657083,82.34505853,119.7654949,63.53642185,57.8132897,69.1355302,93.17648473,88.24631214,98.70861399,89.15795013,82.33000851,97.79879983,97.34709105,87.0113655,108.1381428
1985,97.71891608,81.39387084,118.6903495,58.76624426,53.26803618,63.90610863,92.01778177,87.05170881,97.47128082,87.29558959,80.51705017,96.23679974,96.69441777,86.61294934,107.0373585
1986,97.25043232,80.72563862,118.5569413,54.50812653,49.06983269,60.11588237,90.79146064,85.52267077,96.20754916,85.58180224,78.85700213,94.45698345,96.85174806,86.69804844,108.0603982
1987,97.67394077,80.97115145,119.2005713,51.42821642,46.03812182,57.36053872,90.97843052,85.61232382,96.86872216,84.68906797,78.22240083,93.37364206,98.59797318,88.47098297,110.6698035
